IL_smiles,CH2,CH3,N-CH2,N-CH3,NH2,OH,P-CH2,P-CH3,S-CH2,[(CH2)2PO4]-,[(CH3)2PO4]-,[BF4]-,[Br]-,[C(CN)3]-,[CF3COO]-,[CF3SO3]-,[CH2COO]-,[CH2SO3]-,[CH2SO4]-,[CH3COO]-,[CH3HPO3]-,[CH3SO3]-,[CH3SO4]-,[CHCOO]-,[Cl]-,[DCA]-,[FAP]-,[Im123]+,[Im13]+,[NH3]+,[NO3]-,[NTf2]-,[N]+,[PF6]-,[P]+,[Pip11]+,[Py134]+,[Py13]+,[Py14]+,[Py1]+,[Pyr11]+,[SCN]-,[S]+,[SbF6]-,[TCB]-,aC-CH3,aC-N,aN-CH2,aN-CH3,cN-CH2,cN-CH3
CCCCCCCC[N+]1=CN(C)C=C1.[B-](C#N)(C#N)(C#N)C#N,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
CCCCCCCCCC[N+]1=CN(C)C=C1.C(#N)[C-](C#N)C#N,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
CCCCCCCCCCN1C=C[N+](=C1)C.[B-](C#N)(C#N)(C#N)C#N,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0
CCCCCC[N+]1=CN(C)C=C1.C(#N)[C-](C#N)C#N,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,24,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCC[P+](CCCC)(CCCC)CCCC.C(CS(=O)(=O)[O-])N,9,4,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCC[N+](CCCC)(CCCC)C.C(CS(=O)(=O)[O-])N,7,3,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
CCCCCCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.[Cl-],24,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
