Abbreviation,Ion Full Name,SMILES,B-CF2,B-F,CF2,CF3,CF3O,CH2,CH2O,CH3,CH3COO,CH3O,N(CH3)2,N-CH2,N-CH3,OH,P-CH2,[3triz]-,[4triz]-,[ABN]+,[BF4]-,[B]-,[CF3COO]-,[CF3COO]-],[CF3SO3]-,[CH3SO3]-,[CH3SO4]-,[FAP]-,[Im13]+,[Ind]-,[N(SO2CF2CF3)2]-,[N(SO2CF3)SO2CF2]-,[N(SO2F)]-,[NTf2]-,[N]+,[PF6]-,[P]+,[Pipz]+,[Py1]+,[Pyr11]+,[Pyr]-,[Pz]-,[TCB]-,[TCM]-,[Tz]-,aC-CF3,aC-CH3,aC-CN,aC-NOO,aN-CH2,aN-CH3,cN-CH2,cN-CH3
[OMIM],1-octyl-3-methylimidazolium,CCCCCCCCN1C=C[N+](=C1)C,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
[MMIM],1-methyl-3-methylimidazolium,CN1C=C[N+](=C1)C,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"[N2,2,2,5]",triethyl-pentylammonium,CCCCC[N+](CC)(CC)CC,0,0,0,0,0,3,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[N1,1,2,5]",dimethyl-ethyl-pentylammonium,CCCCC[N+](C)(C)CC,0,0,0,0,0,3,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[N1,1,2,7]",dimethyl-ethyl-heptylammonium,CCCCCCC[N+](C)(C)CC,0,0,0,0,0,5,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[N1,1,1,4]",trimethyl-butylammonium,CCCC[N+](C)(C)CC,0,0,0,0,0,2,0,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[N1,1,2,2(N11)]",1-(2-dimethylaminoethyl)dimethylethylammonium,CC[N+](C)(C)CCN(C)C,0,0,0,0,0,1,0,2,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[N1,2,2,2O1]",diethyl-methyl-(2-methoxyethyl)ammonium,COCC[N+](C)(C)C,0,0,0,0,0,1,0,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[N1,2,2,4]",diethyl-butyl-methylammonium,CCCC[N+](C)(CC)CC,0,0,0,0,0,2,0,3,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[N1,1,1,2OH]",trimethyl-(2-hydroxyethyl)ammonium,C[N+](C)(C)CCO,0,0,0,0,0,1,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[N1,1,2,2OCO1]",dimethyl-ethyl-(acetoxyethyl)ammonium,CC[N+](C)(C)CCOC(C)=O,0,0,0,0,0,1,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[N1,1,2,2O2O1]",dimethyl-ethyl-(methoxyethoxyehtyl)ammonium,CC[N+](C)(C)CCOCCOC,0,0,0,0,0,2,1,1,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[Pyr14],N-butyl-N-methylpyrrolidinium,CCCC[N+]1(C)CCCC1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
[Pyr13],N-propyl-N-methylpyrrolidinium,CCC[N+]1(C)CCCC1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1
[bpy],1-butylpyridinium,CCCC[N+]1=CC=CC=C1,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
[C2dmppz],"1-ethyl-1,4-dimethylpiperazinium",CC[N+]1(C)CCN(C)CC1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
[3-ABN13],N-methyl-N-propyl-3-azabicyclo[3.2.2]nonaneium,CCC[N+]1(C)CC2CCC(CC2)C1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
[Tf2N],(trifluoromethanesulfony)amide,C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[TFA],trifluoroacetate,[O-]C(=O)C(F)(F)F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[OMs],methanesulfonate,CS([O-])(=O)=O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[OTf],trifluoromethanesulfonate,FC(F)(F)S([O-])(=O)=O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[TCM],methanesulfonate,N#C[C-](C#N)C#N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
[3CF3Pyra],3-trifluoromethyl-pyrazolide,FC(F)(F)C1=N[N-]C=C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
[3CH35CF3Pyra],3-methyl-5-trifluoromethylpyrazolide,CC1=N[N-]C(=C1)C(F)(F)F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0
[Inda],indazolide,[N-]1N=CC2=CC=C=CC=C12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[TCB],tetracyanoborate,N#C[B-](C#N)(C#N)C#N,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
[FAP],tris(pentafluoroethyl)trifluorophosphate,FC(F)(F)C(F)(F)[P-](F)(F)(F)(C(F)(F)C(F)(F)F)C(F)(F)C(F)(F)F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[PF6],hexafluorophosphate,F[P-](F)(F)(F)(F)F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[BF4],tetrafluoroborate,F[B-](F)(F)F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[2CNPyr],2-cyano-pyrrolide,N#CC1=CC=C[N-]1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
[4triz],4-triazolide,[N-]1C=NC=N1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[3triz],3-triazolide,[N-]1C=CN=N1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[4NO2Pyra],4-nitropyrazolide,[O-][N+](=O)C1=C[N-]N=C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
[3NO2Pyra],3-nitropyrazolide,[O-][N+](=O)C1=N[N-]C=C1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
[tetz],tetrazolide,[N-]1C=NN=N1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
[CH3SO4],methylsulfate,COS([O-])(=O)=O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[(C2F5SO2)2N],bis(perfluoroethylsulfonyl)imide,FC(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)C(F)(F)F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[CF3CO2],trifluoroacetate,FC(F)(F)C([O-])=O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[(FSO2)2N],bis(fluorosulfonyl)amide,FS(=O)(=O)[N-]S(F)(=O)=O,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[CF3OCF2CF2BF3],perfluoro(2-methoxyethyl)trifluoroborate,F[B-](F)(F)C(F)(F)C(F)(F)OC(F)(F)F,1,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[CF3CF2CF2BF3],perfluoropropyltrifluoroborate,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[CF3CF2CF2CF2BF3],perfluorobutyltrifluoroborate,F[B-](F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[CF3SO2NSO2C4F9],(trifluoromethanesulfonyl)(nonafluorobutanesulfonyl)imide,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
