IL_smiles,MaxAbsEStateIndex,MinAbsEStateIndex,MinEStateIndex,SPS,MolWt,NumRadicalElectrons,FpDensityMorgan1,BCUT2D_MWHI,BCUT2D_MWLOW,BCUT2D_MRHI,AvgIpc,HallKierAlpha,Ipc,Kappa1,Kappa3,PEOE_VSA1,PEOE_VSA10,PEOE_VSA11,PEOE_VSA12,PEOE_VSA13,PEOE_VSA14,PEOE_VSA2,PEOE_VSA3,PEOE_VSA5,PEOE_VSA9,SMR_VSA10,SMR_VSA2,SMR_VSA3,SMR_VSA4,SMR_VSA6,SMR_VSA7,SlogP_VSA1,SlogP_VSA10,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA2,EState_VSA8,VSA_EState10,VSA_EState2,VSA_EState5,VSA_EState6,VSA_EState8,VSA_EState9,NumHeterocycles,fr_pyridine,fr_quatN
CCCCCCN1C=C[N+](=C1)C.[Cl-],-1.3401274675559356,-0.6368382492315667,0.9079787071020142,0.5781607341974634,-0.9910692241504235,-0.16439898730535726,0.7879704243150396,0.7873890131320759,-0.26142939144742144,-2.0492265568066954,0.3411110760813998,0.7334590118749036,-0.1175852800289008,-1.1284406899712849,-0.5197954877384992,0.8306147447665125,0.6479253333527044,-0.6640209652664929,0.5374937236632275,-0.29037022914157296,-0.4704611772211769,-0.3867183411166511,-0.5255831118176617,-0.23570226039551576,-0.27421154405144604,-1.3926115252069127,-0.43262951177644,0.8044854918635507,0.7799558094381508,-0.7721408790335049,0.19896080091244678,3.1135116793255118,-0.8025559437949851,-0.562870181002857,-1.1851231378557594,-0.3741324716685751,-0.1643989873053573,-0.6959048539976065,-1.526145057666301,2.856242657399901,-0.391016476440307,0.07333535868228948,-0.44524757740045645,0.008716465854347218,0.045871425474649084,0.4974191791672402,1.2302926646387944,0.5570860145311556,-0.3892494720807615,-0.3665083330689156
CCCCN1C=C[N+](=C1)C.C(#N)[C-](C#N)C#N,-1.451378866042241,-0.6156311771884131,1.0745204368185608,-0.9447090981849939,-0.8207400543219298,-0.16439898730535726,0.6291347357283886,-1.3728227423285302,-0.10910716000336773,-1.4411771009661263,0.48045846769863304,-1.8141133288170268,-0.1175852800289008,-0.6120074050321014,-0.4275252265939069,-1.3226111391550606,0.6479253333527044,-0.6640209652664929,0.5374937236632275,-0.29037022914157296,-0.4704611772211769,-0.3867183411166511,1.191670384754603,-0.23570226039551576,-0.27421154405144604,-1.3926115252069127,2.1466548119466498,0.8044854918635507,0.7799558094381508,-0.7721408790335049,0.7999067317517868,-0.1278472597061993,-0.8025559437949851,-0.562870181002857,-1.1851231378557594,-0.3741324716685751,-0.1643989873053573,-0.6959048539976065,0.6088387146369034,0.5573835962075638,-0.391016476440307,0.07333535868228948,-0.44524757740045645,-0.26405549273382684,2.955955258674026,0.5757248486813792,1.2302926646387944,0.5570860145311556,-0.3892494720807615,-0.3665083330689156
CCCCN1C=C[N+](=C1)C.[B-](C#N)(C#N)(C#N)C#N,-1.3031457575791112,-0.6156311771884131,1.0745204368185608,-1.0308813736218094,-0.6615639241173439,-0.16439898730535726,0.26687790210971074,-1.372821493604171,-3.0379292998011733,-0.06418832656877564,0.5831019067945515,-2.2257290796341183,-0.1175852800289008,-0.32126482170712295,-0.4941980884058489,-1.3226111391550606,0.6479253333527044,-0.6640209652664929,0.5374937236632275,-0.29037022914157296,-0.21016880978522487,-0.3867183411166511,1.7640882169453578,4.242640687119284,-0.27421154405144604,-0.6437331874935022,3.0064162531876795,0.8044854918635507,0.7799558094381508,-0.7721408790335049,0.19896080091244678,-0.1278472597061993,-0.8025559437949851,-0.562870181002857,-0.8366772211707565,-0.3741324716685751,-0.1643989873053573,-0.6959048539976065,1.320499972071305,0.5573835962075638,-0.391016476440307,0.07333535868228948,-0.44524757740045645,3.6488112235655,0.045871425474649084,0.5757248486813792,1.2302926646387944,0.5570860145311556,-0.3892494720807615,-0.3665083330689156
CCCCCCN1C=C[N+](=C1)C.[B-](C#N)(C#N)(C#N)C#N,-1.3031457575791112,-0.5119920308989186,0.9079787071020142,-0.6940394910378321,-0.4816401900120466,-0.16439898730535726,-0.026377629867314435,-1.372811736922633,-3.0379293898793254,-0.06418559609725691,0.7332857480649253,-2.2257290796341183,-0.1175852800289008,-0.3201049983108946,-0.41579079420092463,-1.3226111391550606,0.6479253333527044,-0.6640209652664929,0.5374937236632275,-0.29037022914157296,-0.21016880978522487,-0.3867183411166511,1.7640882169453578,4.242640687119284,-0.27421154405144604,-0.6437331874935022,3.0064162531876795,0.8044854918635507,0.7799558094381508,-0.7721408790335049,0.19896080091244678,-0.1278472597061993,-0.8025559437949851,-0.562870181002857,-0.8366772211707565,-0.3741324716685751,-0.1643989873053573,-0.6959048539976065,1.320499972071305,0.5573835962075638,-0.391016476440307,0.07333535868228948,-0.44524757740045645,3.6488112235655,0.045871425474649084,0.4974191791672402,1.2302926646387944,0.5570860145311556,-0.3892494720807615,-0.3665083330689156
CCCCCCCC[N+]1=CN(C)C=C1.C(#N)[C-](C#N)C#N,-1.2755489392679282,-0.4383312530928937,0.7885780014759128,-0.28743909976690896,-0.46089258611133266,-0.16439898730535726,-0.026377629867314435,-1.372811096189771,-0.4654563534629271,-1.4411609583711076,0.7876098091829504,-1.8141133288170268,-0.1175852800289008,-0.5440960255285611,-0.2361468767874349,-1.3226111391550606,0.6479253333527044,-0.6640209652664929,0.5374937236632275,-0.29037022914157296,-0.4704611772211769,-0.3867183411166511,1.191670384754603,-0.23570226039551576,-0.27421154405144604,-1.3926115252069127,2.1466548119466498,0.8044854918635507,0.7799558094381508,-0.7721408790335049,0.7999067317517868,-0.1278472597061993,-0.8025559437949851,-0.562870181002857,-1.1851231378557594,-0.3741324716685751,-0.1643989873053573,-0.6959048539976065,0.6088387146369034,0.5573835962075638,-0.391016476440307,0.07333535868228948,-0.44524757740045645,-0.26405549273382684,2.955955258674026,0.4469094845567706,1.2302926646387944,0.5570860145311556,-0.3892494720807615,-0.3665083330689156
CCCCCCCC[N+]1=CN(C)C=C1.[B-](C#N)(C#N)(C#N)C#N,-1.2755489392679282,-0.4383312530928937,0.7885780014759128,-0.41577880542498147,-0.3017164559067466,-0.16439898730535726,-0.26863219976137864,-1.3728098295725495,-3.0379294795809306,-0.06418295062530806,0.8634698559672443,-2.2257290796341183,-0.1175852800289008,-0.2954652465264669,-0.3330980994417732,-1.3226111391550606,0.6479253333527044,-0.6640209652664929,0.5374937236632275,-0.29037022914157296,-0.21016880978522487,-0.3867183411166511,1.7640882169453578,4.242640687119284,-0.27421154405144604,-0.6437331874935022,3.0064162531876795,0.8044854918635507,0.7799558094381508,-0.7721408790335049,0.19896080091244678,-0.1278472597061993,-0.8025559437949851,-0.562870181002857,-0.8366772211707565,-0.3741324716685751,-0.1643989873053573,-0.6959048539976065,1.320499972071305,0.5573835962075638,-0.391016476440307,0.07333535868228948,-0.44524757740045645,3.6488112235655,0.045871425474649084,0.4469094845567706,1.2302926646387944,0.5570860145311556,-0.3892494720807615,-0.3665083330689156
CCCCCCCCCC[N+]1=CN(C)C=C1.C(#N)[C-](C#N)C#N,-1.2333800620763917,-0.38346214955574104,0.698743006354626,-0.04453496991674723,-0.28096885200603267,-0.16439898730535726,-0.26863219976137864,-1.3728097619312798,-0.5736438425533935,-1.4411518198988793,0.9112571175493794,-1.8141133288170268,-0.1175852800289008,-0.49247890433817426,-0.13668201710154015,-1.3226111391550606,0.6479253333527044,-0.6640209652664929,0.5374937236632275,-0.29037022914157296,-0.4704611772211769,-0.3867183411166511,1.191670384754603,-0.23570226039551576,-0.27421154405144604,-1.3926115252069127,2.1466548119466498,0.8044854918635507,0.7799558094381508,-0.7721408790335049,0.7999067317517868,-0.1278472597061993,-0.8025559437949851,-0.562870181002857,-1.1851231378557594,-0.3741324716685751,-0.1643989873053573,-0.6959048539976065,0.6088387146369034,-0.28883953161834464,-0.391016476440307,0.07333535868228948,-0.44524757740045645,-0.26405549273382684,2.955955258674026,0.41152696980513925,1.2302926646387944,0.5570860145311556,-0.3892494720807615,-0.3665083330689156
CCCCCCCCCCN1C=C[N+](=C1)C.[B-](C#N)(C#N)(C#N)C#N,-1.2333800620763917,-0.38346214955574104,0.698743006354626,-0.1820398295101865,-0.12179272180144625,-0.16439898730535726,-0.4721260384723923,-1.3728084904222697,-3.0379295691495867,-0.06418012277783672,0.9784193375381472,-2.2257290796341183,-0.1175852800289008,-0.25678603833167346,-0.2468966810139749,-1.3226111391550606,0.6479253333527044,-0.6640209652664929,0.5374937236632275,-0.29037022914157296,-0.21016880978522487,-0.3867183411166511,1.7640882169453578,4.242640687119284,-0.27421154405144604,-0.6437331874935022,3.0064162531876795,0.8044854918635507,0.7799558094381508,-0.7721408790335049,0.19896080091244678,-0.1278472597061993,-0.8025559437949851,-0.562870181002857,-0.8366772211707565,-0.3741324716685751,-0.1643989873053573,-0.6959048539976065,1.320499972071305,-0.28883953161834464,-0.391016476440307,0.07333535868228948,-0.44524757740045645,3.6488112235655,0.045871425474649084,0.41152696980513925,1.2302926646387944,0.5570860145311556,-0.3892494720807615,-0.3665083330689156
CCCCCC[N+]1=CN(C)C=C1.C(#N)[C-](C#N)C#N,-1.3401274675559356,-0.5119920308989186,0.9079787071020142,-0.5814809411644732,-0.6408163202166294,-0.16439898730535726,0.26687790210971074,-1.372812997773269,-0.26142940049166746,-1.441170047036365,0.646087683475234,-1.8141133288170268,-0.1175852800289008,-0.5861728689940497,-0.33334077272408785,-1.3226111391550606,0.6479253333527044,-0.6640209652664929,0.5374937236632275,-0.29037022914157296,-0.4704611772211769,-0.3867183411166511,1.191670384754603,-0.23570226039551576,-0.27421154405144604,-1.3926115252069127,2.1466548119466498,0.8044854918635507,0.7799558094381508,-0.7721408790335049,0.7999067317517868,-0.1278472597061993,-0.8025559437949851,-0.562870181002857,-1.1851231378557594,-0.3741324716685751,-0.1643989873053573,-0.6959048539976065,0.6088387146369034,0.5573835962075638,-0.391016476440307,0.07333535868228948,-0.44524757740045645,-0.26405549273382684,2.955955258674026,0.4974191791672402,1.2302926646387944,0.5570860145311556,-0.3892494720807615,-0.3665083330689156
CCCCCCCCCCCCCC[P+](CCCCCC)(CCCCCC)CCCCCC.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.7603742668778218,0.2009016474009028,-1.3093288907240657,1.1152002370037266,2.608739461544894,-0.16439898730535726,-1.788476807634263,0.45177542296825857,-0.6719097975339892,0.827676035278817,-2.5595163888173493,1.2168445329292696,-0.11758520481784018,1.051533630951153,0.6357984043056537,-0.6063055711757588,-1.5861983085027498,1.0919172526227532,-0.9895204854602604,-0.29037022914157296,-0.0038882999892492047,-0.3867183411166511,0.31221743913386957,-0.23570226039551576,0.9979785587649963,1.9349501462268126,-0.43262951177644,-1.200847939378234,-1.1724942371496139,1.2947059378753931,-1.2756812633462207,-1.3210099664148178,0.6787038218943886,1.5393082920246757,1.5215565129742525,0.296383673135844,-0.1643989873053573,1.3489348657656888,0.674650180225625,-1.135062659444253,-0.391016476440307,0.07333535868228948,-0.44524757740045645,0.008716465854347218,0.045871425474649084,-0.521702527329789,-2.647887759385612,-1.7950549357115015,-0.3892494720807615,-0.3665083330689156
CCCC[P+](CCCC)(CCCC)CCCC.C(CS(=O)(=O)[O-])N,0.02265766334191289,0.22820299224651475,-0.7251178409907175,1.6650348570178153,0.16880841586324388,-0.16439898730535726,-0.667140967237114,0.44654496016504686,0.2926524544569395,0.6019773105771958,0.7031860767196527,1.7786168952356953,-0.1175852800289008,-0.6418247929475597,0.15694042128376623,0.46016329406702056,-1.1680680677480704,-0.7929024201578656,-0.9895204854602604,-0.29037022914157296,-0.4704611772211769,-0.3867183411166511,-0.6035173401684988,-0.23570226039551576,2.331474022255249,0.7251851087946865,-0.43262951177644,-1.200847939378234,0.4283857496048952,2.325914265181827,-1.6948066924425362,0.17327601695870934,-0.8025559437949851,1.5393082920246757,1.3696205203894805,-0.7162867360114268,6.082762530298219,-0.6959048539976065,0.6997781943595006,-1.135062659444253,-0.391016476440307,0.07333535868228948,-0.44524757740045645,0.008716465854347218,0.045871425474649084,-0.8902099490305885,-1.0993396021280901,-1.7950549357115015,-0.3892494720807615,-0.3665083330689156
CCCC[N+](CCCC)(CCCC)C.C(CS(=O)(=O)[O-])N,0.02265766334191289,0.22820299224651475,0.4081300233398701,1.544902923233225,-0.20989468000364728,-0.16439898730535726,-0.2492518341698531,0.44654473993833904,-0.3139403566498532,0.6019083892756288,0.5356212532148599,1.16458663876123,-0.1175852800289008,-0.8022988583636371,0.19278194508774327,1.2381879802111773,-1.1680680677480704,-0.7929024201578656,-0.9895204854602604,-0.29037022914157296,-0.4704611772211769,-0.3867183411166511,-0.6035173401684988,-0.23570226039551576,2.616418261584125,-0.15973535602425085,-0.43262951177644,-1.200847939378234,0.4283857496048952,2.495814579936919,-1.6948066924425362,0.17327601695870934,-0.8025559437949851,-0.562870181002857,1.7377617919682604,-0.7162867360114268,6.082762530298219,-0.6959048539976065,0.6997781943595006,-1.135062659444253,-0.391016476440307,0.07333535868228948,-0.44524757740045645,0.008716465854347218,0.045871425474649084,-3.034727561805528,0.31271888987737523,-1.7950549357115015,-0.3892494720807615,2.728450923957483
CCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.7603742668778218,-0.6156311771884131,-0.022790206154754737,-0.953841299486266,0.39834682192401244,-0.16439898730535726,-0.09769737524412705,0.4517746688448701,0.19131894820492779,0.8276156409147705,0.5111937082481425,-0.37702123919593844,-0.1175852800289008,1.206095906641738,-0.3720356414048218,-0.6063055711757588,0.6479253333527044,1.2207987075141258,0.5374937236632275,-0.29037022914157296,-0.0038882999892492047,-0.3867183411166511,1.3058864467870752,-0.23570226039551576,-0.27421154405144604,1.0500296814078751,-0.43262951177644,0.8044854918635507,0.7799558094381508,-0.7721408790335049,0.6180862300087623,-0.1278472597061993,0.6787038218943886,-0.562870181002857,0.39395569267304315,1.6705542183626385,-0.1643989873053573,1.3489348657656888,0.9381951856059142,0.5573835962075638,-0.391016476440307,0.07333535868228948,-0.44524757740045645,0.008716465854347218,0.045871425474649084,0.5757248486813792,-0.980912893980329,0.5570860145311556,-0.3892494720807615,-0.3665083330689156
CCCCCCCCCCN1C=C[N+](=C1)C.C(F)(F)(F)S(=O)(=O)[N-]S(=O)(=O)C(F)(F)F,0.7603742668778218,-0.38346214955574104,-0.022790206154754737,-0.2842026492289334,0.9381180242399128,-0.16439898730535726,-0.6231053381612092,0.45177476860703886,-0.5736438424165374,0.8276225149100979,0.9324180630195203,-0.37702123919593844,-0.1175852800289008,0.964899320151934,-0.1428835391167441,-0.6063055711757588,0.6479253333527044,1.2207987075141258,0.5374937236632275,-0.29037022914157296,-0.0038882999892492047,-0.3867183411166511,1.3058864467870752,-0.23570226039551576,-0.27421154405144604,1.0500296814078751,-0.43262951177644,0.8044854918635507,0.7799558094381508,-0.7721408790335049,0.6180862300087623,-0.1278472597061993,0.6787038218943886,-0.562870181002857,0.39395569267304315,1.6705542183626385,-0.1643989873053573,1.3489348657656888,0.9381951856059142,-0.28883953161834464,-0.391016476440307,0.07333535868228948,-0.44524757740045645,0.008716465854347218,0.045871425474649084,0.41152696980513925,-0.980912893980329,0.5570860145311556,-0.3892494720807615,-0.3665083330689156
